unitName,serviceAreaName,ruleType,priority,maxDistance,validFrom,validTo
MU-CLT-MAIN-01,Mecklenburg County,SERVICE_AREA,1,,,
MU-CLT-MAIN-01,Belmont / Mount Holly,SERVICE_AREA,2,,,
MU-CLT-MAIN-02,Mecklenburg County,DISTANCE_TIER,3,15,,
MU-CLT-MAIN-02,Concord / Kannapolis,DISTANCE_TIER,4,35,,
MU-CLT-MAIN-02,Salisbury / Rowan County,DISTANCE_TIER,5,,,
MU-CLT-NORTH-01,Huntersville / Cornelius / Davidson corridor,SERVICE_AREA,1,,,
MU-CLT-NORTH-01,Mooresville / south Iredell,SERVICE_AREA,2,,,
MU-CLT-NORTH-02,Huntersville / Cornelius / Davidson corridor,DISTANCE_TIER,3,20,,
MU-CLT-NORTH-02,Statesville / north Iredell,DISTANCE_TIER,4,45,,
MU-CLT-NORTH-02,Lincoln County,DISTANCE_TIER,5,,,
MU-CLT-SOUTH-01,South Mecklenburg / Ballantyne / Pineville,SERVICE_AREA,1,,,
MU-CLT-SOUTH-01,Fort Mill / Tega Cay,SERVICE_AREA,2,,,
MU-CLT-SOUTH-02,South Mecklenburg / Ballantyne / Pineville,DISTANCE_TIER,3,15,,
MU-CLT-SOUTH-02,Rock Hill,DISTANCE_TIER,4,30,,
MU-CLT-SOUTH-02,Lancaster / Indian Land,DISTANCE_TIER,5,,,
MU-Charlotte-01,Matthews / Indian Trail,SERVICE_AREA,6,,,
MU-Charlotte-01,Monroe / Wingate,SERVICE_AREA,7,,,
MU-Charlotte-01,Gastonia / Bessemer City,SERVICE_AREA,8,,,
MU-Charlotte-02,Mecklenburg County,DISTANCE_TIER,9,25,,
MU-Charlotte-02,Gastonia / Bessemer City,DISTANCE_TIER,10,50,,
MU-Charlotte-02,Shelby / Cleveland County,DISTANCE_TIER,11,,,
