operationCode,name,shortDescription,longDescription,operationCategory,defaultLaborHours
TPMS-SENSOR-SERVICE,TPMS Service Kit - Set of 4,Rebuild and reset four TPMS sensors,"Replace TPMS service kits (valve core, grommet, nut, cap) on all four sensors, test sensor transmission, relearn sensor positions to the vehicle.",TIRE_SERVICE,0.6
TPMS-SENSOR-REPLACE-SINGLE,TPMS Sensor Replacement - Single,Replace one TPMS sensor,"Dismount tire, replace one failed TPMS sensor, remount and balance, program sensor id to the vehicle, verify transmission and clear the TPMS lamp.",TIRE_SERVICE,0.8
TIRE-REPAIR-PATCH-PLUG,Tire Repair - Patch and Plug,Interior patch-plug puncture repair,"Dismount tire, inspect the casing interior for run-flat damage, buff and apply a combination patch-plug unit to a repairable tread-area puncture, remount, balance and torque to spec.",TIRE_SERVICE,0.7
ROAD-FORCE-BALANCE-SET-4,Road Force Balance - Set of 4,"Road force variation balance, four wheels","Measure road force variation on all four assemblies, match-mount tire to rim high point where variation exceeds tolerance, rebalance and record before/after readings.",TIRE_SERVICE,1.2
LUG-TORQUE-RECHECK,Lug Torque Re-check,Post-service torque verification,"Re-torque all wheel fasteners to manufacturer specification with a calibrated torque wrench, inspect for seating and stud damage, record the reading.",TIRE_SERVICE,0.3
TIRE-INSTALL-LT-SET-4,Tire Installation - Light Truck Set of 4,Mount and balance four LT tires,"Mount and balance four light-truck tires including heavier assemblies and higher inflation pressures, install valve stems, reset TPMS, torque to LT specification.",TIRE_SERVICE,1.6
TIRE-INSTALL-COMMERCIAL-SINGLE,Tire Installation - Commercial Single,Mount one commercial tire,"Mount one commercial truck tire on a steel or aluminium rim using a commercial changer, inspect the rim and lock ring, inflate in a safety cage, torque to commercial specification.",TIRE_SERVICE,0.9
NITROGEN-FILL-SET-4,Nitrogen Inflation - Set of 4,Purge and fill four tires with nitrogen,"Purge ambient air from all four tires, fill with nitrogen to specification, verify purity, fit nitrogen valve caps.",TIRE_SERVICE,0.4
MICHELIN-CASING-INSPECTION,Michelin Casing Inspection,Michelin retreadability casing inspection,"Inspect a Michelin casing against the manufacturer retreadability criteria: bead condition, sidewall separations, repair history, shoulder wear and DOT age; record the disposition for the casing credit programme.",TIRE_SERVICE,0.5
MICHELIN-RETREAD-EVALUATION,Michelin Retread Evaluation,Evaluate a casing for the retread programme,"Shearography and visual evaluation of a Michelin casing for the retread programme, document findings and photograph defects, submit the evaluation record.",TIRE_SERVICE,0.8
FLEET-PM-A-SERVICE,Fleet PM - A Service,"Fleet preventive maintenance, A interval","Fleet A-interval preventive maintenance: oil and filter, chassis lubrication, fluid levels, lamp and wiper check, tyre pressures and tread depths recorded to the fleet log.",MAINTENANCE,1.4
FLEET-PM-B-SERVICE,Fleet PM - B Service,"Fleet preventive maintenance, B interval","Fleet B-interval preventive maintenance: everything in the A service plus brake measurement, suspension and steering inspection, exhaust inspection, battery load test and a road test.",MAINTENANCE,2.8
DOT-ANNUAL-INSPECTION,DOT Annual Inspection,Federal annual vehicle inspection,"Federal annual inspection to 49 CFR 396 Appendix A: brakes, coupling devices, exhaust, fuel system, lighting, steering, suspension, frame, tyres, wheels and rims; complete and file the inspection report.",MAINTENANCE,1.9
FLEET-TREAD-DEPTH-AUDIT,Fleet Tread Depth Audit,Record tread depths across a unit,"Measure and record tread depth at three points across every tyre on the unit, note irregular wear patterns and pressures, and file the audit against the fleet account.",MAINTENANCE,0.4
